questions,answers
Lenden Club kya hai?,"LenDenClub ek P2P lending platform hai, jo InnoFin Solutions Pvt Ltd ke dwara owned aur operated hai. Ye RBI registered NBFC-P2P hai, aur India ka sabse bada P2P lending platform hai!"
Is my money safe?,"Arre, honestly, there's some risk involved in P2P lending, but we've got measures in place to mitigate it! We recommend spreading your funds across at least 100 borrowers to minimize the risk. However, it's also important to note that the Reserve Bank of India doesn't guarantee repayment of loans or accept responsibility for any statements made by our platform. So, it's not 100% safe, but we're doing our best to reduce the risk, okay?"
What is the platform NPA?,"The platform NPA refers to a Non-Performing Asset, which is a loan where the interest and/or installment of principal has remained overdue for more than 90 days! In simpler terms, it's a loan that's not being paid back on time, and the borrower is more than 3 months behind on their payments."
How much can I earn?,"You want to know how much you can earn? To be honest, I don't have the exact figures here, but you can find out more by visiting www.lendenclub.com - they've got all the details you need!"
Kya yeh RBI dwara approved hai?,"Haan, yeh RBI dwara approved hai! LenDenClub ne RBI ke guidelines ko follow kiya hai aur unke saath milkar kaam kiya hai. RBI ne bhi LenDenClub ko compliant declare kiya hai. Toh, aapko len-den ke mamle me koi chinta karne ki zarurat nahi hai!"
How do I register?,"So you wanna register on the platform, right? First, you need to sign up, and then there's a registration process you need to complete. You have to make an application to the Reserve Bank, and they'll guide you through the form and everything. But since you're already on our lending platform, let's just complete the registration process that you've already started, okay? What's the status of your registration so far? Did you just start, or is it partially done?"
How is the Product Performance?,"Our product performance is looking great! We've achieved a 99.95% success rate for CP STL, and our smart optimization has reduced attempts to an average of just 1.77 for Retail STL. Plus, 50% of our Retail STL schemes are created in just 22 seconds - that's incredible speed and efficiency!"
Lenden Club ka CEO kon hai?,"CEO ka naam to yahan nahi diya hai, lekin CTO ka naam diya hai - Dipesh Karki! CEO ke baare mein jaankari chahiye toh mujhe poochh sakte hain, main koshish karunga ki uska jawab dhundh sakun."
How many employees work here?,We've got around 250 employees working here!
भाविन पटेल कौन है,भाविन पटेल लेन देन क्लब के सीईओ हैं!
Platform handled volumes or not ?,"Yes, the platform has handled volumes, but it doesn't disclose the exact numbers. However, it does mention that before launch, it checked around 2 lac diversified strata accounts, which suggests that it has handled a significant volume of accounts!"
What are the long and short term plans?,"So, you wanna know about the plans, right? Honestly, the short term plan isn't explicitly mentioned, but the long term plan is all about sustained growth, you know? It's designed to help freshers learn and discuss investment observations, which should position the platform for a strong growth phase. Does that make sense?"
"Whether the director attracts any of the disqualifications envisaged under  the Companies Act, 2013?","Yes, that's a crucial question. According to the details provided, we need to check if the director attracts any of the disqualifications under the Companies Act, 2013. Can you please tell me more about the director's background, so I can help you with that?"
